t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,quiet,voyage,0.08,0,0,100,0,1,0
10,quiet,voyage,0.08,0,0,100,0,0,1
20,quiet,voyage,0.08,0,0,100,0,0,1
30,quiet,voyage,0.08,0,0,100,0,0,1
40,quiet,voyage,0.08,0,0,100,0,0,1
50,quiet,voyage,0.08,0,0,100,0,0,2
60,quiet,voyage,0.08,0,0,100,0,0,2
70,opportunity,voyage,0.188,0,0,100,0,0,2
80,opportunity,voyage,0.23,0,0,100,0,0,2
90,opportunity,voyage,0.23,0,0,100,0,1,2
100,peak,voyage,0.374,0.414542,0.016248,100,1,0,3
110,peak,voyage,0.554,0.430292,0.037342,100,1,0,3
120,peak,voyage,0.592898,0.438167,0.059188,100,1,0,3
130,peak,voyage,0.596481,0.37575,0.079325,100,0,0,3
140,aftermath,voyage,0.395157,0.26375,0.053994,100,0,0,4
150,aftermath,voyage,0.1,0,0,100,0,0,4
160,aftermath,voyage,0.1,0,0,100,0,0,4
170,aftermath,voyage,0.1,0,0,100,0,0,4
180,aftermath,voyage,0.1,0,0,100,0,1,4
190,aftermath,voyage,0.1,0,0,100,0,1,4
200,aftermath,voyage,0.1,0,0,100,0,1,4
210,aftermath,voyage,0.1,0,0,100,0,1,4
220,aftermath,voyage,0.1,0,0,100,0,1,4
230,quiet,hunt,0.08,0,0,100,0,2,4
240,quiet,hunt,0.08,0,0,100,0,2,4
250,quiet,hunt,0.08,0,0,100,0,2,4
260,quiet,hunt,0.08,0,0,100,0,2,4
270,quiet,hunt,0.08,0,0,100,0,3,4
280,opportunity,hunt,0.17,0,0,100,0,3,4
290,peak,hunt,0.284,0.195,0.006149,100,1,2,5
300,peak,hunt,0.464,0.430292,0.027043,100,1,2,5
310,peak,hunt,0.600151,0.430292,0.04874,100,1,2,5
320,peak,hunt,0.603558,0.3915,0.07035,100,0,2,6
330,peak,hunt,0.601241,0.37575,0.08966,100,0,2,6
340,aftermath,hunt,0.15102,0.12375,0.009679,100,0,2,6
350,aftermath,hunt,0.1,0,0,100,0,2,6
360,aftermath,hunt,0.1,0,0,100,0,3,6
370,aftermath,hunt,0.1,0,0,100,0,2,7
380,aftermath,hunt,0.1,0,0,100,0,2,7
390,aftermath,hunt,0.1,0,0,100,0,2,7
400,aftermath,hunt,0.1,0,0,100,0,2,7
410,aftermath,hunt,0.1,0,0,100,0,3,7
420,aftermath,hunt,0.1,0,0,100,0,3,7
430,quiet,discovery,0.08,0,0,100,0,3,7
440,quiet,discovery,0.08,0,0,100,0,3,7
450,quiet,discovery,0.08,0,0,100,0,4,7
460,quiet,discovery,0.08,0,0,100,0,4,7
470,quiet,discovery,0.08,0,0,100,0,4,7
480,quiet,discovery,0.08,0,0,100,0,4,7
490,quiet,discovery,0.08,0,0,100,0,4,7
500,quiet,discovery,0.08,0,0,100,0,4,8
510,quiet,discovery,0.08,0,0,100,0,4,8
520,opportunity,discovery,0.23,0,0,100,0,4,8
530,opportunity,discovery,0.23,0,0,100,0,4,8
540,opportunity,discovery,0.23,0,0,100,0,5,8
550,opportunity,discovery,0.23,0,0,100,0,5,8
560,opportunity,discovery,0.23,0,0,100,0,5,8
570,opportunity,discovery,0.23,0,0,100,0,5,8
580,opportunity,discovery,0.23,0,0,100,0,5,8
590,opportunity,discovery,0.23,0,0,100,0,6,8
600,opportunity,discovery,0.23,0,0,100,0,6,8
610,opportunity,discovery,0.23,0,0,100,0,6,8
620,opportunity,discovery,0.23,0,0,100,0,6,8
630,opportunity,discovery,0.23,0,0,100,0,7,8
640,opportunity,discovery,0.23,0,0,100,0,7,8
650,opportunity,discovery,0.23,0,0,100,0,7,8
660,opportunity,discovery,0.23,0,0,100,0,7,8
670,build,discovery,0.32,0,0,100,0,7,8
680,build,discovery,0.497,0,0,100,0,8,8
690,build,discovery,0.497,0,0,100,0,8,8
700,build,discovery,0.497,0,0,100,0,8,8
710,build,discovery,0.497,0,0,100,0,8,8
720,build,discovery,0.497,0,0,100,0,9,8
730,build,discovery,0.497,0,0,100,0,9,8
740,build,discovery,0.497,0,0,100,0,9,8
750,build,discovery,0.497,0,0,100,0,9,8
760,build,discovery,0.497,0,0,100,0,9,8
770,opportunity,discovery,0.23,0,0,100,0,10,8
780,opportunity,discovery,0.23,0,0,100,0,10,8
790,peak,discovery,0.302,0.26,0.008,100,1,8,10
800,peak,discovery,0.482,0.422417,0.028596,100,1,7,11
810,peak,discovery,0.631002,0.438167,0.049988,100,1,8,11
820,peak,discovery,0.634436,0.383625,0.07137,100,0,8,11
830,peak,discovery,0.632176,0.37575,0.090198,100,0,7,12
840,aftermath,discovery,0.132176,0.09575,0,100,0,7,12
850,aftermath,discovery,0.1,0,0,100,0,7,12
860,aftermath,discovery,0.1,0,0,100,0,7,13
870,aftermath,discovery,0.1,0,0,100,0,7,13
880,aftermath,discovery,0.1,0,0,100,0,7,13
890,aftermath,discovery,0.1,0,0,100,0,7,13
900,aftermath,discovery,0.1,0,0,100,0,8,13
910,aftermath,discovery,0.1,0,0,100,0,7,14
920,aftermath,discovery,0.1,0,0,100,0,7,14
930,aftermath,discovery,0.1,0,0,100,0,7,14
940,aftermath,discovery,0.1,0,0,100,0,7,14
950,quiet,hunt,0.08,0,0,100,0,7,15
960,quiet,hunt,0.08,0,0,100,0,7,15
970,quiet,hunt,0.08,0,0,100,0,7,15
980,quiet,hunt,0.08,0,0,100,0,7,15
990,quiet,hunt,0.08,0,0,100,0,8,15
1000,opportunity,hunt,0.152,0,0,100,0,7,16
1010,peak,hunt,0.332,0.39,0.012149,100,1,6,17
1020,peak,hunt,0.512,0.430292,0.033043,100,1,6,17
1030,peak,hunt,0.636431,0.430292,0.05474,100,1,6,17
1040,peak,hunt,0.639951,0.383625,0.075412,100,0,7,17
1050,aftermath,hunt,0.538142,0.327625,0.072302,100,0,7,17
1060,aftermath,hunt,0.1,0.047625,0,100,0,7,17
