t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,travel,,,,,100,0,1,0
10,travel,,,,,100,0,0,1
20,travel,,,,,100,0,0,1
30,travel,,,,,100,0,0,1
40,travel,,,,,100,0,0,1
50,travel,,,,,100,0,0,2
60,travel,,,,,100,0,0,2
70,travel,,,,,100,0,0,2
80,curiosity,,,,,100,0,0,2
90,curiosity,,,,,100,0,1,2
100,violence,,,,,100,1,0,3
110,violence,,,,,100,1,0,3
120,violence,,,,,100,1,0,3
130,violence,,,,,100,1,0,3
140,violence,,,,,100,1,0,4
150,aftermath,,,,,100,0,0,4
160,aftermath,,,,,100,0,0,4
170,aftermath,,,,,100,0,0,4
180,aftermath,,,,,100,0,1,4
190,aftermath,,,,,100,0,1,4
200,aftermath,,,,,100,0,1,4
210,quiet,,,,,100,0,1,4
220,quiet,,,,,100,0,1,4
230,quiet,,,,,100,0,2,4
240,quiet,,,,,100,0,2,4
250,quiet,,,,,100,0,2,4
260,quiet,,,,,100,0,2,4
270,quiet,,,,,100,0,3,4
280,quiet,,,,,100,0,3,4
290,quiet,,,,,100,0,3,4
300,work,,,,,100,0,3,4
310,work,,,,,100,0,3,4
320,travel,,,,,100,0,3,5
330,violence,,,,,100,1,2,6
340,violence,,,,,100,1,2,6
350,violence,,,,,100,1,2,6
360,violence,,,,,100,1,3,6
370,violence,,,,,100,1,2,7
380,violence,,,,,100,1,2,7
390,aftermath,,,,,100,0,2,7
400,aftermath,,,,,100,0,2,7
410,aftermath,,,,,100,0,3,7
420,aftermath,,,,,100,0,3,7
430,aftermath,,,,,100,0,3,7
440,aftermath,,,,,100,0,3,7
450,quiet,,,,,100,0,4,7
460,quiet,,,,,100,0,4,7
470,quiet,,,,,100,0,4,7
480,quiet,,,,,100,0,4,7
490,quiet,,,,,100,0,4,7
500,quiet,,,,,100,0,4,8
510,quiet,,,,,100,0,4,8
520,quiet,,,,,100,0,4,8
530,quiet,,,,,100,0,4,8
540,work,,,,,100,0,5,8
550,work,,,,,100,0,5,8
560,violence,,,,,100,1,4,9
570,violence,,,,,100,1,4,9
580,violence,,,,,100,1,4,9
590,violence,,,,,100,1,5,9
600,violence,,,,,100,1,5,9
610,violence,,,,,100,1,5,9
620,aftermath,,,,,100,0,5,9
630,aftermath,,,,,100,0,6,9
640,aftermath,,,,,100,0,6,9
650,aftermath,,,,,100,0,6,9
660,aftermath,,,,,100,0,6,9
670,aftermath,,,,,100,0,6,9
680,quiet,,,,,100,0,7,9
690,quiet,,,,,100,0,7,9
700,quiet,,,,,100,0,7,9
710,quiet,,,,,100,0,7,9
720,quiet,,,,,100,0,8,9
730,quiet,,,,,100,0,8,9
740,quiet,,,,,100,0,8,9
750,quiet,,,,,100,0,8,9
760,quiet,,,,,100,0,8,9
770,work,,,,,100,0,9,9
780,work,,,,,100,0,9,9
790,violence,,,,,100,1,7,11
800,violence,,,,,100,1,6,12
810,violence,,,,,100,1,7,12
820,violence,,,,,100,1,7,12
830,violence,,,,,100,1,6,13
840,aftermath,,,,,100,0,6,13
850,aftermath,,,,,100,0,6,13
860,aftermath,,,,,100,0,6,14
870,aftermath,,,,,100,0,6,14
880,aftermath,,,,,100,0,6,14
890,aftermath,,,,,100,0,6,14
900,quiet,,,,,100,0,7,14
910,quiet,,,,,100,0,6,15
920,quiet,,,,,100,0,6,15
930,quiet,,,,,100,0,6,15
940,quiet,,,,,100,0,6,15
950,quiet,,,,,100,0,6,16
960,quiet,,,,,100,0,6,16
970,quiet,,,,,100,0,6,16
980,quiet,,,,,100,0,6,16
990,work,,,,,100,0,7,16
1000,work,,,,,100,0,6,17
1010,travel,,,,,100,0,6,17
1020,travel,,,,,100,0,6,17
1030,violence,,,,,100,1,5,18
1040,violence,,,,,100,1,6,18
1050,violence,,,,,100,1,6,18
1060,violence,,,,,100,1,6,18
1070,violence,,,,,100,1,6,18
1080,aftermath,,,,,100,0,7,18
1090,aftermath,,,,,100,0,7,18
1100,aftermath,,,,,100,0,7,18
1110,aftermath,,,,,100,0,7,18
1120,aftermath,,,,,100,0,7,18
1130,aftermath,,,,,100,0,7,19
1140,quiet,,,,,100,0,7,19
1150,quiet,,,,,100,0,7,19
1160,quiet,,,,,100,0,7,19
1170,quiet,,,,,100,0,8,19
1180,quiet,,,,,100,0,8,19
1190,quiet,,,,,100,0,8,19
1200,quiet,,,,,100,0,8,19
1210,quiet,,,,,100,0,8,19
1220,quiet,,,,,100,0,9,19
1230,work,,,,,100,0,9,19
1240,work,,,,,100,0,9,19
1250,travel,,,,,100,1,8,20
1260,violence,,,,,100,1,9,20
1270,violence,,,,,100,1,9,20
1280,violence,,,,,100,1,9,20
1290,violence,,,,,100,1,9,20
1300,violence,,,,,100,1,9,20
1310,aftermath,,,,,100,0,9,21
1320,aftermath,,,,,100,0,9,21
1330,aftermath,,,,,100,0,9,21
1340,aftermath,,,,,100,0,9,21
1350,aftermath,,,,,100,0,10,21
1360,aftermath,,,,,100,0,10,21
1370,quiet,,,,,100,0,10,21
1380,quiet,,,,,100,0,10,21
