t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,quiet,voyage,0.08,0,0,100,0,1,0
10,quiet,voyage,0.08,0,0,100,0,0,1
20,quiet,voyage,0.08,0,0,100,0,0,1
30,quiet,voyage,0.08,0,0,100,0,0,1
40,quiet,voyage,0.08,0,0,100,0,0,1
50,quiet,voyage,0.08,0,0,100,0,0,2
60,quiet,voyage,0.08,0,0,100,0,0,2
70,opportunity,voyage,0.188,0,0,100,0,0,2
80,opportunity,voyage,0.23,0,0,100,0,0,2
90,opportunity,voyage,0.23,0,0,100,0,1,2
100,peak,voyage,0.374,0.425042,0.01658,100,1,0,3
110,peak,voyage,0.554,0.461792,0.03913,100,1,0,3
120,peak,voyage,0.592388,0.480167,0.063437,100,1,0,3
130,peak,voyage,0.589364,0.470542,0.088633,100,1,0,3
140,peak,voyage,0.586329,0.480167,0.113929,100,1,0,4
150,peak,voyage,0.5832,0.480167,0.139997,100,1,0,4
160,aftermath,voyage,0.182584,0.470542,0.166067,100,1,0,4
170,aftermath,voyage,0.076931,0.480167,0.192238,100,1,0,4
180,aftermath,voyage,0.073698,0.480167,0.219181,100,1,1,4
190,aftermath,voyage,0.070465,0.470542,0.246127,100,1,1,4
200,aftermath,voyage,0.067385,0.415125,0.271792,100,0,1,4
210,aftermath,voyage,0.072816,0.247125,0.226533,100,0,1,4
220,aftermath,voyage,0.083725,0,0.135624,100,0,1,4
230,aftermath,voyage,0.094634,0,0.044715,100,0,2,4
240,aftermath,voyage,0.1,0,0,100,0,2,4
250,quiet,discovery,0.08,0,0,100,0,2,4
260,quiet,discovery,0.08,0,0,100,0,2,4
270,quiet,discovery,0.08,0,0,100,0,3,4
280,quiet,discovery,0.08,0,0,100,0,3,4
290,quiet,discovery,0.08,0,0,100,0,3,4
300,quiet,discovery,0.08,0,0,100,0,3,4
310,quiet,discovery,0.08,0,0,100,0,3,4
320,quiet,discovery,0.08,0,0,100,0,3,5
330,opportunity,discovery,0.098,0,0,100,0,3,5
340,peak,discovery,0.278,0.425042,0.01658,100,1,2,6
350,peak,discovery,0.458,0.461792,0.03913,100,1,2,6
360,peak,discovery,0.592388,0.480167,0.063437,100,1,3,6
370,peak,discovery,0.589364,0.470542,0.088633,100,1,2,7
380,aftermath,discovery,0.437264,0.480167,0.113929,100,1,2,7
390,aftermath,discovery,0.0832,0.480167,0.139997,100,1,2,7
400,aftermath,discovery,0.080072,0.470542,0.166067,100,1,2,7
410,aftermath,discovery,0.076931,0.480167,0.192238,100,1,3,7
420,aftermath,discovery,0.073698,0.480167,0.219181,100,1,3,7
430,aftermath,discovery,0.070465,0.470542,0.246127,100,1,3,7
440,aftermath,discovery,0.067385,0.415125,0.271792,100,0,3,7
450,aftermath,discovery,0.072816,0.247125,0.226533,100,0,4,7
460,aftermath,discovery,0.083725,0,0.135624,100,0,4,7
470,aftermath,discovery,0.094634,0,0.044715,100,0,4,7
480,aftermath,discovery,0.1,0,0,100,0,4,7
490,quiet,hunt,0.08,0,0,100,0,4,7
500,quiet,hunt,0.08,0,0,100,0,4,8
510,quiet,hunt,0.08,0,0,100,0,4,8
520,quiet,hunt,0.08,0,0,100,0,4,8
530,quiet,hunt,0.08,0,0,100,0,4,8
540,opportunity,hunt,0.224,0,0,100,0,5,8
550,opportunity,hunt,0.23,0,0,100,0,5,8
560,opportunity,hunt,0.23,0,0,100,0,5,8
570,opportunity,hunt,0.23,0,0,100,0,5,8
580,opportunity,hunt,0.23,0,0,100,0,5,8
590,opportunity,hunt,0.23,0,0,100,0,6,8
600,opportunity,hunt,0.23,0,0,100,0,6,8
610,opportunity,hunt,0.23,0,0,100,0,6,8
620,build,hunt,0.284,0,0,100,0,6,8
630,build,hunt,0.464,0,0,100,0,7,8
640,build,hunt,0.485,0,0,100,0,7,8
650,build,hunt,0.485,0,0,100,0,7,8
660,build,hunt,0.485,0,0,100,0,7,8
670,build,hunt,0.485,0,0,100,0,7,8
680,build,hunt,0.485,0,0,100,0,8,8
690,build,hunt,0.485,0,0,100,0,8,8
700,build,hunt,0.485,0,0,100,0,8,8
710,build,hunt,0.485,0,0,100,0,8,8
720,build,hunt,0.485,0,0,100,0,9,8
730,build,hunt,0.485,0,0,100,0,9,8
740,build,hunt,0.485,0,0,100,0,9,8
750,build,hunt,0.485,0,0,100,0,9,8
760,opportunity,hunt,0.23,0,0,100,0,9,8
770,opportunity,hunt,0.23,0,0,100,0,10,8
780,opportunity,hunt,0.23,0,0,100,0,10,8
790,peak,hunt,0.32,0.325,0.01058,100,1,8,10
800,peak,hunt,0.5,0.461792,0.03313,100,1,7,11
810,peak,hunt,0.618108,0.480167,0.057437,100,1,8,11
820,peak,hunt,0.615084,0.470542,0.082633,100,1,8,11
830,peak,hunt,0.612049,0.480167,0.107929,100,1,7,12
840,peak,hunt,0.60892,0.480167,0.133997,100,1,7,12
850,peak,hunt,0.605792,0.470542,0.160067,100,1,7,12
860,peak,hunt,0.602651,0.480167,0.186238,100,1,7,13
870,aftermath,hunt,0.102651,0.480167,0.213181,100,1,7,13
880,aftermath,hunt,0.071185,0.470542,0.240127,100,1,7,13
890,aftermath,hunt,0.06797,0.470542,0.266919,100,0,7,13
900,aftermath,hunt,0.065068,0.4055,0.291099,100,0,8,13
910,aftermath,hunt,0.075977,0.1255,0.20019,100,0,7,14
920,aftermath,hunt,0.086886,0,0.10928,100,0,7,14
930,aftermath,hunt,0.097795,0,0.018371,100,0,7,14
940,aftermath,hunt,0.1,0,0,100,0,7,14
950,aftermath,hunt,0.1,0,0,100,0,7,15
960,aftermath,hunt,0.1,0,0,100,0,7,15
970,aftermath,hunt,0.1,0,0,100,0,7,15
980,quiet,discovery,0.08,0,0,100,0,7,15
990,quiet,discovery,0.08,0,0,100,0,8,15
1000,quiet,discovery,0.08,0,0,100,0,7,16
1010,quiet,discovery,0.08,0,0,100,0,7,16
1020,quiet,discovery,0.08,0,0,100,0,7,16
